COUNTER,AF3,F7,F3, FC5, T7, P7, O1, O2,P8, T8, FC6, F4,F8, AF4,GYROX, GYROY, TIMESTAMP, FUNC_ID, FUNC_VALUE, MARKER, SYNC_SIGNAL,
53,4362.56,3984.1,4340.51,4127.18,4069.74,3605.64,4445.13,4461.54,4768.21,4526.67,4542.56,4344.1,4265.64,3877.95,1653,1691,0.448,0,0,0,0,
54,4365.64,3986.67,4338.97,4128.21,4068.21,3604.62,4442.05,4456.92,4765.13,4524.62,4540,4343.59,4264.62,3877.95,1654,1692,0.456,0,0,0,0,
55,4369.23,3988.72,4343.08,4135.9,4070.26,3604.1,4442.05,4458.46,4766.67,4523.59,4543.59,4343.08,4266.67,3881.54,1653,1691,0.464,0,0,0,0,
56,4368.72,3983.59,4343.59,4134.36,4065.13,3602.05,4443.59,4459.49,4766.15,4523.59,4542.05,4344.62,4266.67,3882.56,1654,1692,0.472,0,0,0,0,
57,4364.62,3981.03,4337.44,4122.56,4058.97,3601.03,4443.59,4460,4766.15,4523.59,4538.97,4344.1,4263.59,3877.95,1654,1693,0.48,0,0,0,0,
58,4363.59,3985.64,4335.38,4122.05,4062.05,3603.59,4443.59,4461.54,4768.21,4523.08,4540,4341.03,4263.08,3874.87,1653,1693,0.487,0,0,0,0,
59,4369.23,3989.74,4340.51,4134.36,4072.31,3605.64,4448.72,4458.46,4765.64,4522.05,4541.54,4341.54,4265.13,3875.9,1654,1692,0.495,0,0,0,0,
60,4371.28,3992.31,4343.59,4139.49,4081.54,3607.69,4457.44,4465.64,4769.74,4523.08,4542.56,4345.13,4267.18,3877.95,1654,1692,0.503,0,0,0,0,
61,4365.64,3988.72,4343.08,4130.26,4074.87,3608.21,4461.03,4474.36,4777.95,4524.1,4542.56,4342.56,4262.05,3874.36,1654,1691,0.511,0,0,0,0,
62,4360,3978.97,4339.49,4122.05,4060,3607.18,4460,4466.15,4773.33,4522.05,4535.9,4336.41,4247.69,3863.08,1654,1691,0.519,0,0,0,0,
63,4358.46,3973.33,4338.46,4123.59,4061.54,3608.72,4461.54,4458.46,4764.62,4520,4526.15,4332.31,4243.08,3859.49,1655,1690,0.527,0,0,0,0,
64,4356.92,3974.87,4339.49,4124.62,4069.74,3609.74,4462.05,4461.03,4764.62,4518.97,4522.05,4328.72,4247.18,3863.59,1656,1690,0.534,0,0,0,0,
65,4357.44,3980,4338.46,4120.51,4069.23,3606.15,4458.97,4459.49,4764.62,4518.97,4528.72,4324.62,4248.21,3862.05,1655,1689,0.542,0,0,0,0,
66,4362.56,3987.18,4337.44,4120.51,4065.13,3605.13,4457.44,4456.41,4765.64,4522.05,4537.44,4328.21,4253.85,3866.15,1656,1691,0.55,0,0,0,0,
67,4368.72,3990.77,4341.54,4127.18,4065.64,3607.18,4455.9,4461.54,4775.38,4527.69,4537.44,4334.87,4263.59,3877.95,1656,1691,0.558,0,0,0,0,
68,4369.74,3988.72,4343.59,4126.15,4065.64,3604.62,4449.74,4463.59,4783.08,4528.21,4541.03,4335.9,4266.15,3880,1656,1692,0.566,0,0,0,0,
